"","X_R24834A_2","X_R24834A_1","X_R21723B_2","X_37014_1","X_31616_1","X_R35073B_1","X_7158_1","X_R35073B_2","X_R40334B_1","X_R40334B_2","X_R30875B_2","X_R30875B_1","X_R21723B_1","X_40064_1","X_R9288_1","X_Rou7776B_1","X_Rou7776B_2","X_ROU7788A_1","X_ROU7788A_2","X_21868_1","X_35794_1","X_Rou6223B_2","X_Rou6223B_1","X_776_1","X_R41544A_1","X_R9288_2","X_R16380_1","X_R16380_2","X_R41544A_2","X_R34914A_1","X_R19459B_2","X_R34914A_2","X_R29425B_2","X_33098_1","X_24339_1","X_20026_2","X_20026_1","X_14501_1","X_R19880A_10","X_R19880A_9","X_R19459B_1","X_R40757A_2","X_R40757A_3","X_R25549B_2","X_R25549B_1","X_R29425B_1"
"RPS26P47",1,2,0,2,1,1,1,2,1,0,1,1,0,3,2,3,2,3,0,0,2,1,3,2,2,2,0,0,2,1,1,1,0,0,0,3,2,2,1,0,0,0,1,1,0,0
"RPS29P22",1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"RPS29P23",0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0
"RPS2P36",6,7,1,13,14,6,7,4,3,3,4,2,2,10,2,1,2,0,0,3,10,14,6,12,2,3,2,2,2,8,4,8,1,5,20,15,11,10,10,8,3,7,7,2,4,8
"RPS3AP34",2,2,1,1,2,0,1,0,0,1,1,1,0,0,1,0,1,1,1,4,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0
"RPS3AP43",0,0,1,0,4,0,0,0,0,1,1,0,0,0,2,0,0,1,0,2,2,0,2,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"RPS3AP46",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,1,0,2,0,0,0,1,0,0,0,1
"RPS4XP10",0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,2,0,2,0,0,0,0,1,1,1,1,2,0,1,2,1,0,1,0,1,1,1,3
"RPS4XP20",1,0,0,0,2,0,3,1,0,2,0,0,0,1,2,0,0,1,1,0,2,0,1,0,2,4,0,1,1,0,0,0,0,2,0,0,1,0,1,0,0,0,1,1,0,0
"RPS4Y2",4,1,1,1,0,2,1,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,2,1,1,1,0,1,0,1,3,1,0,0,2,1,2,0,1,1
"RPS6KA2-AS1",3,1,0,6,8,0,4,2,0,0,0,0,2,5,4,3,2,2,0,9,8,1,1,10,2,2,1,0,0,1,2,1,0,5,0,1,3,1,0,0,0,0,0,1,0,0
"RPS8P4",0,0,1,3,3,1,1,0,3,0,0,1,1,2,0,0,0,0,0,2,0,1,1,1,0,0,1,0,0,0,1,1,3,0,0,2,3,2,0,0,1,0,1,0,1,1
"RPS8P6",2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0
"RPSAP16",0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,1,3,0,1,0,6,1,3,2,2,0,0,0,1,0,0,1,2,0,0,1,0,3,1,1,0,1,0,0,0,0
"RPSAP31",0,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,0,2,0,0,0,1,0,1,0,0
"RPSAP36",3,1,0,3,3,0,0,2,0,4,2,0,0,1,0,0,1,0,0,1,2,0,2,3,0,1,0,0,1,6,0,5,0,6,2,4,5,0,0,0,1,2,0,1,0,0
