"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCB10P4",0,NA,NA,NA,NA,NA
"ABCB11",1.06400524580575,-0.375906790821717,0.558962322361339,-0.67250828147718,0.501260169760887,NA
"ABCB4",157.897873731238,-0.147833183330923,0.166040194116463,-0.89034576307006,0.373280255500103,0.89069315145717
"ABCB5",0.213030918462745,0.0561249531006609,1.62403066093379,0.0345590477142778,0.972431357167922,NA
"ABCB6",56.6467800383292,0.141673326126319,0.123048552796797,1.15136117334333,0.24958368009038,0.847622534598453
"ABCB7",730.868277070397,-0.0346666821778808,0.0529430814279714,-0.654791546749023,0.512601973920275,0.929283232527
"ABCB8",470.023111897669,0.0209259657554114,0.0672193500481102,0.311308659492159,0.755565984819241,0.974854101482711
"ABCB9",57.7265650749773,0.237470493718122,0.208038724937819,1.14147254934917,0.253673328989927,0.847622534598453
"ABCC1",1639.33840840748,0.106060480449295,0.0593313871199085,1.78759482287085,0.0738414013494814,0.702744429228827
"ABCC10",401.437782650889,-0.0836522681252884,0.0864196207118693,-0.967977728161901,0.333055492871693,0.880277760076532
"ABCC11",0.908369504988672,-0.134216816873461,0.488329765778926,-0.274848731900203,0.783432456651571,NA
"ABCC12",0.921083112761105,0.45643226503877,0.655602469259271,0.6962027851336,0.486301843723822,NA
"ABCC13",0.109284172813697,0.0499727891736231,2.89534077065501,0.0172597262747479,0.986229414590412,NA
"ABCC2",17.1642914986852,0.0502298161399285,0.202092612955266,0.248548501627058,0.803710048212034,0.981241763225623
"ABCC3",5.17163009734983,0.0935230166433977,0.535317051807914,0.174705842691811,0.861310776582644,0.98771110980723
"ABCC4",864.736325057743,-0.255764083890398,0.0773719805186268,-3.30564219987653,0.000947590074083954,0.157753290793144
"ABCC5",222.397697607784,-0.019223160712821,0.0749544361690479,-0.256464616309917,0.797592099046155,0.980013896910614
"ABCC5-AS1",0.296798061167775,-0.287453935682242,0.912769011288279,-0.314925169596337,0.752818470673283,NA
"ABCC6",2.64048823743448,0.181951273479863,0.30300926922366,0.600480882799526,0.548185797782798,0.938279079028383
"ABCC6P1",0.0140911474030704,0.163726209609005,3.30124425294482,0.0495953031839301,0.960444889544155,NA
"ABCC6P2",0.022817700411342,-0.0208866557831757,3.30124425294482,-0.00632690409518899,0.994951894583828,NA
"ABCC8",0.582075556434642,0.990265543470561,0.816799755371007,1.21237247802647,0.225369831184225,NA
"ABCC9",24.8637706536467,0.347051431570774,0.728313233018663,0.476513972061634,0.633708255691271,0.955732781658284
"ABCD1",145.580388409951,0.219404137312277,0.115503827771498,1.89953996802882,0.057493516766634,0.663577070731859
"ABCD1P2",0,NA,NA,NA,NA,NA
"ABCD1P3",0,NA,NA,NA,NA,NA
"ABCD1P4",0.0340930734947572,0.188949772668639,3.30124425294482,0.0572359262723712,0.954357260028724,NA
"ABCD1P5",0,NA,NA,NA,NA,NA
"ABCD2",172.684479633888,-0.165104864571329,0.109345736647201,-1.5099341742425,0.13106022150134,0.769235339330038
"ABCD3",548.38301952802,-0.111876457297287,0.0674427280044237,-1.65883647663167,0.0971487478528774,0.734101287385497
"ABCD4",437.802722134084,0.0172821638608811,0.0460824034431388,0.375027398087117,0.707640090522717,0.968439082369823
"ABCE1",2083.49079202324,-0.0306511711564399,0.0783126914159007,-0.391394684594079,0.695505520679183,0.967152560249015
"ABCF1",2031.02018136959,0.0106293106005356,0.0453533253582572,0.234366730919332,0.814700284325005,0.982597512232195
"ABCF2",387.913623376024,-0.00448506150337125,0.0751880622260234,-0.059651244766605,0.952433403579543,0.996846182438628
"ABCF2-H2BE1",0,NA,NA,NA,NA,NA
"ABCF2P1",0.712415248585543,0.559108682360684,0.496994319046451,1.12498002680072,0.260597498077643,NA
"ABCF2P2",0.0221482000939778,0.188949772668639,3.30124425294482,0.0572359262723712,0.954357260028724,NA
"ABCF3",752.653343286848,0.0438080186356674,0.0483822665250489,0.905456105761122,0.365223803866333,0.888500374167495
"ABCG1",172.873389249515,0.401683618287115,0.274710172368146,1.46220875195262,0.143684014055491,0.782085411654736
"ABCG2",2.43279797899873,-0.548065544655191,0.435902605401065,-1.25731192671108,0.208640706915938,0.833795220209345
